"mydate","v1","v2","v3","v4","v5","v6","mys"
"2020/02/21(五)","13","15","27","34","35","39","31"
"2020/02/18(二)","04","13","31","35","37","42","49"
"2020/02/14(五)","07","13","23","33","35","36","09"
"2020/02/11(二)","09","22","23","37","43","46","38"
"2020/02/07(五)","05","15","19","22","30","42","31"
"2020/02/04(二)","03","23","27","28","37","48","08"
"2020/02/02(日)","03","16","17","30","33","37","29"
"2020/02/01(六)","02","10","12","20","26","34","28"
"2020/01/31(五)","14","16","19","28","32","49","01"
"2020/01/30(四)","06","24","35","41","46","49","09"
"2020/01/29(三)","01","04","09","14","15","49","32"
"2020/01/28(二)","02","03","13","20","28","38","40"
"2020/01/27(一)","09","12","23","33","39","45","24"
"2020/01/26(日)","03","28","29","35","41","47","48"
"2020/01/25(六)","05","13","16","31","41","45","09"
"2020/01/24(五)","07","13","18","21","38","44","03"
"2020/01/23(四)","13","18","23","30","44","48","37"
"2020/01/21(二)","17","22","30","38","44","48","36"
"2020/01/17(五)","07","09","20","42","44","45","08"
"2020/01/14(二)","07","20","34","37","38","47","18"
"2020/01/10(五)","04","07","12","17","33","38","11"
"2020/01/07(二)","01","05","08","15","16","38","07"
"2020/01/03(五)","16","18","19","29","30","47","10"
"2019/12/31(二)","10","14","26","38","39","47","08"
"2019/12/27(五)","17","18","25","32","43","45","05"
"2019/12/24(二)","09","18","31","45","48","49","22"
"2019/12/20(五)","16","21","22","28","32","46","24"
"2019/12/17(二)","09","21","27","31","38","49","03"
"2019/12/13(五)","07","12","26","31","37","49","17"
"2019/12/10(二)","03","08","18","19","41","48","36"
"2019/12/06(五)","16","18","22","23","24","41","39"
"2019/12/03(二)","05","09","11","15","36","45","27"
"2019/11/29(五)","10","21","24","30","35","45","22"
"2019/11/26(二)","08","10","15","19","36","45","37"
"2019/11/22(五)","03","18","23","24","26","49","32"
"2019/11/19(二)","05","15","30","35","38","47","18"
"2019/11/15(五)","03","06","11","16","26","44","31"
"2019/11/12(二)","01","19","25","27","31","40","12"
"2019/11/08(五)","01","03","09","26","40","47","15"
"2019/11/05(二)","09","13","22","37","40","42","26"
"2019/11/01(五)","12","15","23","33","41","42","11"
"2019/10/29(二)","03","10","12","22","36","41","18"
"2019/10/25(五)","03","08","14","16","26","36","41"
"2019/10/22(二)","06","17","22","23","32","42","13"
"2019/10/18(五)","03","23","32","36","39","40","49"
"2019/10/15(二)","13","21","28","35","37","38","33"
"2019/10/11(五)","07","12","17","21","30","37","49"
"2019/10/08(二)","07","13","18","21","26","34","08"
"2019/10/04(五)","10","21","23","33","42","48","41"
"2019/10/01(二)","02","09","12","15","20","49","40"
"2019/09/27(五)","10","21","25","26","35","37","04"
"2019/09/24(二)","02","16","18","20","22","39","21"
"2019/09/20(五)","08","17","23","24","31","34","25"
"2019/09/17(二)","12","18","29","40","41","48","24"
"2019/09/13(五)","02","07","15","27","37","39","43"
"2019/09/10(二)","03","12","17","20","29","38","47"
"2019/09/06(五)","02","14","19","20","26","43","23"
"2019/09/03(二)","11","13","25","32","33","48","31"
"2019/08/30(五)","06","26","35","42","44","48","07"
"2019/08/27(二)","01","04","08","10","45","47","41"
"2019/08/23(五)","05","17","19","21","42","43","16"
"2019/08/20(二)","01","16","19","27","35","42","41"
"2019/08/16(五)","07","08","31","33","41","45","39"
"2019/08/13(二)","05","21","25","32","36","41","33"
"2019/08/09(五)","04","13","18","26","41","48","33"
"2019/08/06(二)","01","10","20","37","38","49","31"
"2019/08/02(五)","05","34","42","46","48","49","14"
"2019/07/30(二)","04","12","21","24","33","35","42"
"2019/07/26(五)","04","11","36","40","41","48","49"
"2019/07/23(二)","12","14","35","37","42","47","06"
"2019/07/19(五)","12","17","26","33","35","39","10"
"2019/07/16(二)","15","30","31","37","39","48","08"
"2019/07/12(五)","12","14","18","19","37","47","30"
"2019/07/09(二)","11","17","20","34","37","41","06"
"2019/07/05(五)","11","17","32","33","38","46","15"
"2019/07/02(二)","02","04","11","33","39","42","19"
"2019/06/28(五)","09","13","15","26","31","33","10"
"2019/06/25(二)","08","20","31","36","38","45","33"
"2019/06/21(五)","07","12","26","30","31","32","13"
"2019/06/18(二)","05","16","27","29","33","45","28"
"2019/06/14(五)","06","10","12","22","24","37","03"
"2019/06/11(二)","06","31","32","39","40","42","28"
"2019/06/07(五)","18","22","26","27","30","38","45"
"2019/06/04(二)","05","06","19","23","43","48","07"
"2019/05/31(五)","08","15","21","31","36","46","18"
"2019/05/28(二)","03","11","22","36","38","40","07"
"2019/05/24(五)","12","13","19","21","29","39","41"
"2019/05/21(二)","07","10","18","32","41","46","42"
"2019/05/17(五)","02","07","12","21","23","45","10"
"2019/05/14(二)","09","15","27","28","40","43","45"
"2019/05/10(五)","11","17","27","31","33","37","12"
"2019/05/07(二)","02","14","23","29","35","43","22"
"2019/05/03(五)","06","07","19","31","32","40","15"
"2019/04/30(二)","01","04","19","24","47","49","36"
"2019/04/26(五)","08","24","29","37","44","48","06"
"2019/04/23(二)","08","14","16","18","30","35","36"
"2019/04/19(五)","04","11","24","29","32","45","49"
"2019/04/16(二)","01","14","23","36","39","41","04"
"2019/04/12(五)","12","26","32","34","45","46","14"
"2019/04/09(二)","10","36","37","44","45","46","48"
"2019/04/05(五)","11","28","29","38","43","49","22"
"2019/04/02(二)","05","28","38","40","41","47","25"
"2019/03/29(五)","01","03","12","16","29","49","04"
"2019/03/26(二)","06","13","14","19","24","38","26"
"2019/03/22(五)","01","12","16","37","41","47","36"
"2019/03/19(二)","07","16","17","36","47","48","49"
"2019/03/15(五)","05","10","12","20","28","36","15"
"2019/03/12(二)","05","07","22","37","40","45","12"
"2019/03/08(五)","03","11","15","25","31","48","36"
"2019/03/05(二)","12","13","16","21","42","43","39"
"2019/03/01(五)","01","08","14","27","40","45","34"
"2019/02/26(二)","06","17","22","34","38","42","20"
"2019/02/22(五)","06","20","22","43","45","48","11"
"2019/02/19(二)","01","03","04","24","32","43","37"
"2019/02/15(五)","01","03","40","44","46","48","02"
"2019/02/12(二)","11","16","19","29","30","45","01"
"2019/02/10(日)","05","08","14","19","22","47","24"
"2019/02/09(六)","06","08","18","19","20","30","22"
"2019/02/08(五)","08","13","14","32","36","42","05"
"2019/02/07(四)","07","21","29","33","40","41","08"
"2019/02/06(三)","17","23","28","29","32","39","12"
"2019/02/05(二)","13","18","30","34","45","49","33"
"2019/02/04(一)","06","08","24","32","34","36","49"
"2019/02/03(日)","12","24","28","36","37","40","06"
"2019/02/02(六)","02","07","22","35","46","49","41"
"2019/02/01(五)","10","17","20","21","32","41","34"
"2019/01/29(二)","14","20","24","30","44","48","31"
"2019/01/25(五)","03","10","14","15","20","45","02"
"2019/01/22(二)","02","20","36","37","42","46","29"
"2019/01/18(五)","04","05","10","30","39","45","14"
"2019/01/15(二)","12","20","30","38","40","41","10"
"2019/01/11(五)","13","20","22","31","34","42","09"
"2019/01/08(二)","04","19","21","28","39","43","18"
"2019/01/04(五)","06","07","08","20","47","48","30"
"2019/01/01(二)","18","23","24","25","39","42","48"
"2018/12/28(五)","07","11","19","23","35","44","33"
"2018/12/25(二)","07","26","27","28","30","32","44"
"2018/12/21(五)","05","19","21","34","41","49","42"
"2018/12/18(二)","05","08","11","15","33","37","03"
"2018/12/14(五)","06","09","14","19","38","49","20"
"2018/12/11(二)","07","12","15","21","27","47","48"
"2018/12/07(五)","11","20","29","33","34","36","18"
"2018/12/04(二)","03","06","12","16","17","20","14"
"2018/11/30(五)","05","14","20","27","29","45","07"
"2018/11/27(二)","27","33","36","41","43","44","31"
"2018/11/23(五)","07","20","21","34","37","43","05"
"2018/11/20(二)","04","31","34","36","40","44","20"
"2018/11/16(五)","07","11","23","30","38","49","45"
"2018/11/13(二)","07","21","35","36","42","43","10"
"2018/11/09(五)","04","12","14","15","22","48","28"
"2018/11/06(二)","02","05","26","29","38","39","07"
"2018/11/02(五)","05","16","18","32","41","47","02"
"2018/10/30(二)","03","09","28","32","39","47","07"
"2018/10/26(五)","08","10","23","33","41","46","48"
"2018/10/23(二)","06","09","13","20","42","43","21"
"2018/10/19(五)","07","18","20","32","42","49","24"
"2018/10/16(二)","01","24","39","40","46","49","33"
"2018/10/12(五)","04","06","07","12","20","21","29"
"2018/10/09(二)","08","13","16","23","35","41","21"
"2018/10/05(五)","03","09","10","42","44","47","05"
"2018/10/02(二)","02","08","16","33","42","47","14"
"2018/09/28(五)","01","02","07","20","27","37","19"
"2018/09/25(二)","19","25","27","39","40","46","06"
"2018/09/21(五)","03","05","10","11","29","45","25"
"2018/09/18(二)","11","23","34","36","41","45","43"
"2018/09/14(五)","19","29","36","37","45","46","18"
"2018/09/11(二)","14","16","18","23","25","44","41"
"2018/09/07(五)","02","08","14","21","37","44","49"
"2018/09/04(二)","04","06","10","15","42","49","12"
"2018/08/31(五)","12","15","34","37","43","46","38"
"2018/08/28(二)","08","10","11","39","42","44","27"
"2018/08/24(五)","03","07","09","31","39","45","35"
"2018/08/21(二)","08","12","17","28","31","34","01"
"2018/08/17(五)","03","14","19","21","35","48","13"
"2018/08/14(二)","15","16","17","25","34","49","05"
"2018/08/10(五)","05","07","16","18","36","48","37"
"2018/08/07(二)","12","13","19","25","30","46","05"
"2018/08/03(五)","04","06","30","35","40","43","13"
"2018/07/31(二)","15","20","22","31","35","37","14"
"2018/07/27(五)","05","12","17","19","35","48","09"
"2018/07/24(二)","24","25","29","32","42","49","12"
"2018/07/20(五)","09","12","13","24","39","45","38"
"2018/07/17(二)","11","20","26","34","41","43","09"
"2018/07/13(五)","02","14","21","31","42","46","04"
"2018/07/10(二)","09","11","21","24","39","43","07"
